Time (UTCG),Position (x),Position (y),Position (z)
1 Oct 2025 06:30:00.000,5622.753940045719,-3961.4579052164127,-17.298623514280518
1 Oct 2025 06:30:10.000,5610.669262733751,-3978.168525673871,58.098901040335065
1 Oct 2025 06:30:20.000,5597.8621574911795,-3994.3622370340786,133.4896198932241
1 Oct 2025 06:30:30.000,5584.337142389392,-4010.0329286126644,208.86470140826785
1 Oct 2025 06:30:40.000,5570.0286285040875,-4025.271738118321,284.21531526005424
1 Oct 2025 06:30:50.000,5555.081601279454,-4039.8780228962705,359.5326329625708
1 Oct 2025 06:31:00.000,5539.430913718099,-4053.9433808074646,434.8078287626443
1 Oct 2025 06:31:10.000,5523.0177230785575,-4067.563653209808,509.91310345989973
1 Oct 2025 06:31:20.000,5505.975541282529,-4080.5302989899874,585.0776949205194
1 Oct 2025 06:31:30.000,5488.17345466744,-4093.034654994216,660.1737241198118
1 Oct 2025 06:31:40.000,5469.68777704512,-4104.974715722677,735.1923828887001
1 Oct 2025 06:31:50.000,5450.523896289311,-4116.345007954424,810.1248691773283
1 Oct 2025 06:32:00.000,5430.699599113188,-4127.149494567311,884.8440660124921
1 Oct 2025 06:32:10.000,5410.124711478248,-4137.459398447685,959.5780027783392
1 Oct 2025 06:32:20.000,5388.90237245243,-4147.1939020542295,1034.0814577412332
1 Oct 2025 06:32:30.000,5367.010817092447,-4156.326637327734,1108.5817850624048
1 Oct 2025 06:32:40.000,5344.41285961396,-4164.96870497959,1182.834530207475
1 Oct 2025 06:32:50.000,5321.228160860696,-4172.9036585652475,1257.0662633506802
1 Oct 2025 06:33:00.000,5297.277938877462,-4180.431426259696,1331.033411885635
1 Oct 2025 06:33:10.000,5272.751403783755,-4187.240672887832,1404.9616527971107
1 Oct 2025 06:33:20.000,5247.54628991332,-4193.540828234822,1478.6084098880722
1 Oct 2025 06:33:30.000,5221.65049045226,-4199.311527609034,1552.0820979061064
1 Oct 2025 06:33:40.000,5195.14363458026,-4204.456209136817,1625.3740719287202
1 Oct 2025 06:33:50.000,5168.032362184813,-4208.970442965503,1698.4757022026213
1 Oct 2025 06:34:00.000,5140.24990949452,-4212.939573608345,1771.3783744498353
1 Oct 2025 06:34:10.000,5111.802919101674,-4216.357897635402,1844.0734911286486
1 Oct 2025 06:34:20.000,5082.771819113552,-4219.131041933138,1916.5524711448168
1 Oct 2025 06:34:30.000,5053.09002872028,-4221.343094179457,1988.8067525121558
1 Oct 2025 06:34:40.000,5022.865855214352,-4222.924011423715,2060.713905881228
1 Oct 2025 06:34:50.000,4991.97863227407,-4223.911632005877,2132.4935713974573
1 Oct 2025 06:35:00.000,4960.491676984367,-4224.347729383839,2203.9098958247664
1 Oct 2025 06:35:10.000,4928.458612576002,-4224.1177893263375,2275.0683218517697
1 Oct 2025 06:35:20.000,4895.70853759833,-4223.362367830626,2346.0726579133143
1 Oct 2025 06:35:30.000,4862.457844078302,-4221.957373272042,2416.689600714559
1 Oct 2025 06:35:40.000,4828.610472226573,-4219.9578440545065,2487.023439481809
1 Oct 2025 06:35:50.000,4794.24805437201,-4217.2749890412315,2557.0658236779145
1 Oct 2025 06:36:00.000,4759.265810907286,-4214.102180795595,2626.6980689149395
1 Oct 2025 06:36:10.000,4723.751248628716,-4210.207838907832,2696.133096533947
1 Oct 2025 06:36:20.000,4687.6352741282935,-4205.814332415603,2765.142440779733
1 Oct 2025 06:36:30.000,4650.928862974523,-4200.770195736939,2833.9370770331743
1 Oct 2025 06:36:40.000,4613.78661169033,-4195.055631445315,2902.290648461984
1 Oct 2025 06:36:50.000,4576.034857740436,-4188.795402743941,2970.3043549429226
1 Oct 2025 06:37:00.000,4537.755857237216,-4181.903768670225,3037.9700782402033
1 Oct 2025 06:37:10.000,4498.9586897303525,-4174.376246253003,3105.2797331185225
1 Oct 2025 06:37:20.000,4459.693116673239,-4166.246240808213,3172.1192680680815
1 Oct 2025 06:37:30.000,4419.88818430248,-4157.43468479631,3238.693259111429
1 Oct 2025 06:37:40.000,4379.5626961379685,-4148.09042135989,3304.7823515575615
1 Oct 2025 06:37:50.000,4338.758505346721,-4138.093574777053,3370.484627263968
1 Oct 2025 06:38:00.000,4297.413320945328,-4127.515090006553,3435.7922074648345
1 Oct 2025 06:38:10.000,4255.609449076901,-4116.274537784461,3500.6972473396663
1 Oct 2025 06:38:20.000,4213.329977481629,-4104.48502122757,3565.0897456683497
1 Oct 2025 06:38:30.000,4170.568500946181,-4091.981685986407,3629.1670025906215
1 Oct 2025 06:38:40.000,4127.354071717002,-4078.9207955104475,3692.7175973548533
1 Oct 2025 06:38:50.000,4083.724169528997,-4065.1816682878043,3755.8360742359364
1 Oct 2025 06:39:00.000,4039.547970877075,-4050.9018073653506,3818.514821517662
1 Oct 2025 06:39:10.000,3995.026368315096,-4035.9819354513393,3880.6475727820507
1 Oct 2025 06:39:20.000,3950.0052164899985,-4020.392126709793,3942.424928998587
1 Oct 2025 06:39:30.000,3904.5924059605695,-4004.2242357116397,4003.642773247681
1 Oct 2025 06:39:40.000,3858.682646068134,-3987.4918518319782,4064.3923979528895
1 Oct 2025 06:39:50.000,3812.477601236301,-3970.1061082847473,4124.57075904515
1 Oct 2025 06:40:00.000,3765.7513642404083,-3952.0924338759387,4184.362697797638
1 Oct 2025 06:40:10.000,3718.686605742345,-3933.4832414787998,4243.570381403857
1 Oct 2025 06:40:20.000,3671.246091127247,-3914.221349266716,4302.282313647075
1 Oct 2025 06:40:30.000,3623.374771948241,-3894.3649589778533,4360.491360532407
1 Oct 2025 06:40:40.000,3575.1392900479423,-3873.963399198331,4418.0987687542965
1 Oct 2025 06:40:50.000,3526.5697694626733,-3852.8928409158507,4475.190849339859
1 Oct 2025 06:41:00.000,3477.5459573716507,-3831.269943473134,4531.760655163951
1 Oct 2025 06:41:10.000,3428.2168401969084,-3808.965237442389,4587.801292017085
1 Oct 2025 06:41:20.000,3378.5843526774024,-3786.0938182414166,4643.217653040693
1 Oct 2025 06:41:30.000,3328.544783340206,-3762.6480659150666,4698.092975015029
1 Oct 2025 06:41:40.000,3278.235025639696,-3738.623768849656,4752.3340555318455
1 Oct 2025 06:41:50.000,3227.5615008824457,-3713.8900029599436,4806.108157105406
1 Oct 2025 06:42:00.000,3176.585847269829,-3688.6216126906256,4859.23660745991
1 Oct 2025 06:42:10.000,3125.3266237214493,-3662.812232464169,4911.715632063964
1 Oct 2025 06:42:20.000,3073.7464375360296,-3636.3892577993483,4963.624430119401
1 Oct 2025 06:42:30.000,3021.8633877922334,-3609.3437102110465,5014.956655287358
1 Oct 2025 06:42:40.000,2969.6959047498285,-3581.6667143060777,5065.706021775468
1 Oct 2025 06:42:50.000,2917.2575200942347,-3553.469728643583,5115.786287298309
1 Oct 2025 06:43:00.000,2864.569362770764,-3524.744308194655,5165.194180274536
1 Oct 2025 06:43:10.000,2811.656594782009,-3495.3618854806773,5214.004636270483
1 Oct 2025 06:43:20.000,2758.4177811519344,-3465.4105130762778,5262.211679470103
1 Oct 2025 06:43:30.000,2704.993491955289,-3434.9023825552363,5309.733282471206
1 Oct 2025 06:43:40.000,2651.229437721142,-3403.8481910733317,5356.6417136693535
1 Oct 2025 06:43:50.000,2597.326543383435,-3372.21612991636,5402.857108647798
1 Oct 2025 06:44:00.000,2543.1914902230183,-3339.967180130137,5448.449927424441
1 Oct 2025 06:44:10.000,2488.8490173685136,-3307.2087731993547,5493.34250465536
1 Oct 2025 06:44:20.000,2434.268044102201,-3273.850361643392,5537.603458265631
1 Oct 2025 06:44:30.000,2379.533674050485,-3239.9554330319584,5581.157353701332
1 Oct 2025 06:44:40.000,2324.617540444693,-3205.5523671464166,5624.0019724036565
